external_id,provider_external_id,provider_name,provider_match,parent_provider_canonical,resource_name,legacy_schema_category,category,current_app_category,subcategory,legacy_subcategory,street,city,state,zip,phone,email,website,hours_summary,description,eligibility_notes,service_area,walk_ins_accepted,requires_id,requires_referral,beds_total,beds_available,availability_status,verification_status,is_active,source_urls,source_type,confidence,lat,lng,geocode_status,is_map_ready,import_priority,import_status,import_notes,access_type,geocode_source_url,population_served,provider_type,facility_features,tags
ACTS-001-emergency-shelter-temporary-housing-shelter,ACTS-001,ACTS,ACTS,ACTS,Emergency Shelter / Temporary Housing,shelter,shelter,shelter,emergency_shelter,emergency_shelter,4403 W Dr Martin Luther King Jr Blvd,Tampa,FL,33614,,,https://actsfl.org/,,"Emergency shelter / temporary housing candidate identified from public shelter listings.

Eligibility: Confirm intake rules and program naming before import.",,Tampa,false,false,false,,,unknown,verified,true,https://actsfl.org/,live_db,90,28.00619,-82.50598,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSP-001-haines-city-satellite-office-work_exchange,CSP-001,CareerSource Polk,CareerSource Polk,CareerSource Polk,Haines City Satellite Office,work_exchange,work_exchange,work_exchange,career_center,career_center,915 Avenue E,Haines City,FL,33844,,,https://www.careersourcepolk.com/,,"Satellite career center serving Haines City / East Polk.

Eligibility: Confirm hours and office naming from official site.",,Haines City,true,false,false,,,unknown,verified,true,https://www.careersourcepolk.com/,live_db,90,28.099,-81.616,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSP-001-lakeland-career-center-work_exchange,CSP-001,CareerSource Polk,CareerSource Polk,CareerSource Polk,Lakeland Career Center,work_exchange,work_exchange,work_exchange,career_center,career_center,309 N Ingraham Ave,Lakeland,FL,33801,,,https://www.careersourcepolk.com/,,"Career center for Polk job seekers and employers.

Eligibility: Confirm hours and main contact from official site.",,Lakeland,true,false,false,,,unknown,verified,true,https://www.careersourcepolk.com/,live_db,90,28.042681,-81.906626,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-brandon-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Brandon Center,work_exchange,work_exchange,work_exchange,career_center,career_center,"6302 E Dr. Martin Luther King Jr Blvd, Suite 120",Tampa,FL,33619,,,https://careersourcetampabay.com/career-centers/,,"Career center serving East Tampa / Brandon area job seekers and employers.

Eligibility: Public workforce center; confirm hours from official center directory.",,Tampa,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,27.93536,-82.37841,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-gulf-to-bay-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Gulf to Bay Center,work_exchange,work_exchange,work_exchange,career_center,career_center,2312 Gulf to Bay Blvd,Clearwater,FL,33765,(727) 524-4344,,https://careersourcetampabay.com/career-centers/,Mon-Fri 8:00 AM-5:00 PM,"Pinellas-area career center for job seekers and employers.

Eligibility: Public workforce center; call for program-specific eligibility.",,Clearwater,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,27.97452,-82.74419,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-plant-city-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Plant City Center,work_exchange,work_exchange,work_exchange,career_center,career_center,307 N Michigan Ave,Plant City,FL,33563,,,https://careersourcetampabay.com/career-centers/,,"Career center serving East Hillsborough / Plant City job seekers.

Eligibility: Public workforce center; confirm hours from official center directory.",,Plant City,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,28.01694,-82.12544,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-ruskin-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Ruskin Center,work_exchange,work_exchange,work_exchange,career_center,career_center,201 14th Ave SE,Ruskin,FL,33570,,,https://careersourcetampabay.com/career-centers/,,"Career center serving South Hillsborough job seekers and employers.

Eligibility: Public workforce center; confirm hours from official center directory.",,Ruskin,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,27.69354,-82.45861,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-st-petersburg-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,St. Petersburg Center,work_exchange,work_exchange,work_exchange,career_center,career_center,3420 8th Ave S,St. Petersburg,FL,33711,(727) 524-4344,,https://careersourcetampabay.com/career-centers/,Mon-Fri 8:00 AM-5:00 PM,"South County career center for job search, employer referrals, and workforce support.

Eligibility: Public workforce center; call for program-specific eligibility.",,St. Petersburg,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,27.73884,-82.68845,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-support-services-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Support Services,work_exchange,work_exchange,work_exchange,employment_support_services,employment_support_services,9215 N Florida Ave,Tampa,FL,33612,(813) 930-7400,,https://careersourcetampabay.com/support-services/,Contact any center Mon-Fri 8:00 AM-5:00 PM,"Supportive workforce services including guidance, transportation help, family assistance, and related referrals.

Eligibility: Program availability varies by need and eligibility.",,Tampa,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/support-services/,live_db,90,28.05071,-82.451,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
CSTB-001-tampa-center-work_exchange,CSTB-001,CareerSource Tampa Bay,CareerSource Tampa Bay,CareerSource Tampa Bay,Tampa Center,work_exchange,work_exchange,work_exchange,career_center,career_center,9215 N Florida Ave,Tampa,FL,33612,(813) 930-7400,,https://careersourcetampabay.com/career-centers/,Mon-Fri 8:00 AM-5:00 PM,"Career center offering job search help, career planning, referrals, and workforce services.

Eligibility: Public workforce center; call for program-specific eligibility.",,Tampa,true,false,false,,,unknown,verified,true,https://careersourcetampabay.com/career-centers/,live_db,90,28.05071,-82.451,geocoded,true,high,ready_for_import,exported from live db — migration 008+012,physical_site,,,nonprofit,,
