id,name,description,category,subcategory,address_street,address_city,address_state,address_zip,lat,lng,phone,email,website,availability_status,beds_total,beds_available,walk_ins_accepted,requires_id,requires_referral,age_min,age_max,gender_restriction,hours_of_operation,verification_status,is_active,access_type,is_map_ready,languages_spoken,tags
bfe40c78-b95d-470c-95d5-74ee99860c92,Alpha House of Tampa,"Residential program providing shelter, prenatal care support, and life skills for pregnant women and mothers with young children.",shelter,Maternity Shelter,4207 N Habana Ave,Tampa,FL,33614,27.9766,-82.4929,(813) 875-2024,,https://www.alphahousetampa.org,limited,,,false,true,false,,,any,"{""monday"":""9:00 AM - 5:00 PM"",""tuesday"":""9:00 AM - 5:00 PM"",""wednesday"":""9:00 AM - 5:00 PM"",""thursday"":""9:00 AM - 5:00 PM"",""friday"":""9:00 AM - 5:00 PM"",""saturday"":""Closed"",""sunday"":""Closed""}",verified,true,onsite,true,English|Spanish,women|pregnant|mothers|infants|residential
1aa7ebab-5566-4e45-a5cb-40d34c1df246,Family Promise of Greater Tampa,"Transitional shelter and support services for families with children experiencing homelessness.",shelter,Family Transitional Housing,509 E Jackson St,Tampa,FL,33602,27.9486,-82.455,(813) 347-4422,,https://www.familypromisegreatertampa.org,limited,,,false,true,true,,,any,"{""monday"":""9:00 AM - 5:00 PM"",""tuesday"":""9:00 AM - 5:00 PM"",""wednesday"":""9:00 AM - 5:00 PM"",""thursday"":""9:00 AM - 5:00 PM"",""friday"":""9:00 AM - 5:00 PM"",""saturday"":""Closed"",""sunday"":""Closed""}",verified,true,onsite,true,English,families|children|transitional|case management
8efd22f4-e5c2-4a37-b540-3cb1bf7456ae,Joshua House,"Emergency shelter and supportive services for runaway, homeless, and at-risk youth ages 10–17 in Tampa Bay.",shelter,Youth Shelter,3109 N Armenia Ave,Tampa,FL,33607,27.9644,-82.4832,(813) 874-1202,,https://www.joshuahousetampa.org,available,,,true,false,false,,,any,"{""monday"":""Open 24/7"",""tuesday"":""Open 24/7"",""wednesday"":""Open 24/7"",""thursday"":""Open 24/7"",""friday"":""Open 24/7"",""saturday"":""Open 24/7"",""sunday"":""Open 24/7""}",verified,true,onsite,true,English|Spanish,youth|teens|runaway|ages 10-17|24/7
f02dcb65-8849-4d4d-93ef-89cc715f91ca,Metropolitan Ministries,"Comprehensive homeless services including emergency shelter, meals, case management, and transitional housing for families and individuals.",shelter,Emergency Shelter,2002 N Florida Ave,Tampa,FL,33602,27.9708,-82.4631,(813) 209-1000,,https://www.metromin.org,available,,,true,false,false,,,any,"{""monday"":""Open 24/7"",""tuesday"":""Open 24/7"",""wednesday"":""Open 24/7"",""thursday"":""Open 24/7"",""friday"":""Open 24/7"",""saturday"":""Open 24/7"",""sunday"":""Open 24/7""}",verified,true,onsite,true,English|Spanish,emergency|families|meals|veterans|transitional
df86bf3d-066d-4f08-bb8d-06fd5bfca636,Pinellas Hope,"Large emergency shelter campus offering meals, case management, and transitional housing for homeless adults in Pinellas County.",shelter,Emergency Shelter,1501 N Belcher Rd,Clearwater,FL,33765,27.9748,-82.7476,(727) 712-4673,,https://www.pinellashope.org,available,0,0,true,false,false,,,any,{},verified,true,onsite,true,English|Spanish,emergency|meals|case management|transitional|24/7
8dc6215e-3143-429b-b47c-7058a1c47cb0,Safe Harbor Pinellas,"Low-barrier emergency shelter for homeless adults operated by Pinellas County. Intake through coordinated entry.",shelter,Low-Barrier Shelter,2165 15th Ave N,St. Petersburg,FL,33713,27.7897,-82.6709,(727) 582-7922,,https://pinellascounty.org/humanservices/homelessness,limited,0,0,true,false,false,,,any,{},pending,false,onsite,true,English,emergency|low-barrier|no ID|county-operated|24/7
40c9f040-8aba-4e49-b3c5-028aa107a9ad,Salvation Army - Dade City,"Food pantry, emergency shelter nights, and social services for east Pasco County including Zephyrhills and Dade City.",shelter,Emergency Shelter & Food,37736 Church Ave,Dade City,FL,33525,28.3647,-82.1942,(352) 521-3432,,https://salvationarmyflorida.org,available,0,0,true,false,false,,,any,{},verified,true,onsite,true,English,shelter|food pantry|east Pasco|Zephyrhills
e5e7330b-17bd-4287-a1a8-6474589374f3,Salvation Army Tampa Corps,"Emergency shelter, meals, disaster relief, and social services for individuals and families in crisis.",shelter,Emergency Shelter,1514 N Florida Ave,Tampa,FL,33602,27.9677,-82.4631,(813) 226-8611,,https://salvationarmyflorida.org/tampa,available,,,true,false,false,,,any,"{""monday"":""8:00 AM - 9:00 PM"",""tuesday"":""8:00 AM - 9:00 PM"",""wednesday"":""8:00 AM - 9:00 PM"",""thursday"":""8:00 AM - 9:00 PM"",""friday"":""8:00 AM - 9:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}",verified,true,onsite,true,English|Spanish,emergency|disaster relief|meals|clothing
994bef34-8d8c-4bc9-8dd8-eee58e1fce93,St. Vincent de Paul - Pinellas,"Thrift stores, food pantry, and emergency assistance with rent, utilities, and prescriptions for struggling families.",shelter,Thrift & Emergency Aid,384 Central Ave,St. Petersburg,FL,33705,27.7692,-82.739,(727) 823-2516,,https://svdppinellas.org,available,0,0,true,false,false,,,any,"{""monday"":""8:30 AM - 4:30 PM"",""tuesday"":""8:30 AM - 4:30 PM"",""wednesday"":""8:30 AM - 4:30 PM"",""thursday"":""8:30 AM - 4:30 PM"",""friday"":""8:30 AM - 4:30 PM"",""saturday"":""Closed"",""sunday"":""Closed""}",verified,true,onsite,true,English|Spanish,thrift|clothing|food|rent assistance|utilities
8abdabdc-83f9-4adc-9f52-ba57e868db03,Sunrise of Pasco County,"Emergency shelter, 24/7 crisis hotline, and advocacy for victims of domestic violence and sexual assault in Pasco County.",shelter,Domestic Violence Shelter,5901 Main St,New Port Richey,FL,34652,28.2442,-82.719,,,https://www.sunriseofpasco.org,available,0,0,true,false,false,,,any,{},verified,false,onsite,true,English|Spanish,domestic violence|sexual assault|women|crisis hotline|24/7|confidential
2887136f-4df2-4302-aed5-4a145fd2928b,Catholic Charities - St. Petersburg,"Food pantry, emergency financial assistance, immigration services, and refugee resettlement for families in need.",food,Food Pantry & Emergency Aid,1213 16th St N,St. Petersburg,FL,33705,27.7764,-82.6574,(727) 893-1313,,https://ccdosp.org,available,,,true,false,false,,,any,"{""monday"":""9:00 AM - 4:00 PM"",""tuesday"":""9:00 AM - 4:00 PM"",""wednesday"":""9:00 AM - 4:00 PM"",""thursday"":""9:00 AM - 4:00 PM"",""friday"":""9:00 AM - 4:00 PM"",""saturday"":""Closed"",""sunday"":""Closed""}",verified,true,onsite,true,English|Spanish|French|Haitian Creole,food pantry|immigration|refugees|emergency assistance
b6dcd1a1-299a-4844-b952-59daf5eab9b8,Community Services Foundation - Pasco,"Food pantry, emergency financial assistance, and holiday programs serving low-income residents of west Pasco County.",food,Food Pantry,7736 State Rd 52,Hudson,FL,34667,28.3644,-82.6927,(727) 856-9767,,https://www.csfpasco.org,available,,,true,false,false,,,any,{},verified,false,onsite,true,English|Spanish,food pantry|holiday programs|financial assistance|west Pasco
